ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:740(encodekey)
21,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:812(fsdecode)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:1073(__subclasshook__)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_bootlocale.py:11(getpreferredencoding)
864,0.001,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:34(_get_bothseps)
865,0.003,0.000,0.005,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:44(normcase)
17,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:72(_check_methods)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:61(isabs)
9,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:77(join)
884,0.005,0.000,0.006,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:124(splitdrive)
862,0.008,0.000,0.016,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:180(split)
872,0.003,0.000,0.009,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:203(splitext)
862,0.002,0.000,0.017,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:214(basename)
6,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:271(__subclasshook__)
10,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:302(__subclasshook__)
6,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:349(__subclasshook__)
4,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:367(__subclasshook__)
31,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:392(__subclasshook__)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:450(normpath)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:664(__contains__)
423,0.001,0.000,0.002,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:676(items)
1283,0.002,0.000,0.003,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:680(values)
1706,0.001,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:698(__init__)
856,0.001,0.000,0.004,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:701(__len__)
2,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:625(realpath)
2115,0.006,0.000,0.011,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:742(__iter__)
6415,0.007,0.000,0.017,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:760(__iter__)
6,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\genericpath.py:27(isfile)
872,0.003,0.000,0.006,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\genericpath.py:121(_splitext)
6,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\_virtualenv.py:54(find_spec)
102741,0.236,0.000,0.273,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:82(__init__)
102741,0.105,0.000,0.748,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:108(__enter__)
102741,0.149,0.000,0.474,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:117(__exit__)
102741,0.121,0.000,0.394,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:238(helper)
3,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:381(_exit_wrapper)
3,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:379(_create_cb_wrapper)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:385(__init__)
3,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:429(callback)
3,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:463(_push_exit_callback)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:479(__enter__)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\contextlib.py:482(__exit__)
11,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\weakref.py:44(__new__)
693,0.002,0.000,0.002,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\openpifpaf\annotation.py:31(add)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_weakrefset.py:81(add)
693,0.020,0.000,0.061,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\openpifpaf\annotation.py:10(__init__)
98418,0.113,0.000,0.382,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\re.py:188(match)
427,0.001,0.000,0.003,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\re.py:250(compile)
98845,0.113,0.000,0.169,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\re.py:289(_compile)
100774,0.103,0.000,0.148,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\enum.py:313(__call__)
100774,0.045,0.000,0.045,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\enum.py:631(__new__)
5/1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:71(_compile)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\enum.py:938(__and__)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:249(_compile_charset)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:276(_optimize_charset)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:413(<listcomp>)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:411(_mk_bitmap)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:423(_simple)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:453(_get_iscased)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:461(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:492(_get_charset_prefix)
